Object,TextureSet,Material,UV_Channel
GEO_AbdomenArmor,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_BackArmor,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_BackSpineArmor,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_BackVent_L,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_BackVent_R,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestArmor_Center,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestArmor_L,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestArmor_R,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestArmor_Upper_L,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestArmor_Upper_R,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestFloatingRib_L,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestFloatingRib_R,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestFrame,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestInsetTrim,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestReinforcement,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestVent_L,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_ChestVent_R,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_Collar,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_CollarInnerShroud,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_Head,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_HeadBrowReinforcement,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_HeadCheek_L,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_HeadCheek_R,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_HeadSensor,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_Neck,01_TorsoHead,MAT_Boss_01_TorsoHead,UVMap
GEO_HipJointGuard_L,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_HipJointGuard_R,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_HipJoint_L,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_HipJoint_R,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_PelvisArmor,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_PelvisFrame,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_PelvisInset_L,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_PelvisInset_R,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_PelvisRearPlate,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_PelvisSide_L,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_PelvisSide_R,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_SpineFrame,02_Pelvis,MAT_Boss_02_Pelvis,UVMap
GEO_ElbowGuard_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ElbowLink_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Elbow_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_FingerBlock_Lower_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_FingerBlock_Upper_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ForearmFrame_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ForearmReinforcement_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Forearm_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_HandBackArmor_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Hand_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Index_01_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Index_02_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Knuckle_Index_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Knuckle_Middle_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Knuckle_Pinky_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Knuckle_Ring_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Middle_01_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Middle_02_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_PalmSideGuard_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Palm_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Pinky_01_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Pinky_02_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Ring_01_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Ring_02_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ShoulderArmor_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ShoulderBase_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ShoulderCrest_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ShoulderInsetRib_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_ShoulderOuterArmor_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Thumb_01_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_Thumb_02_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_UpperArmFrame_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
GEO_UpperArmPlate_L,03_Arm_L,MAT_Boss_03_Arm_L,UVMap
